airline_name,overall_rating,seat_comfort,service_quality,food_quality,onboard_entertainment,quality_price_ratio
air-mauritius,5.268817204301075,2.2686567164179103,3.029850746268657,2.791044776119403,2.4328358208955225,2.759259259259259
air-mediterranee,4.25,2.6666666666666665,3.3333333333333335,3.6666666666666665,1.3333333333333333,2.5
air-memphis,2.7857142857142856,2.7857142857142856,2.7857142857142856,2.7857142857142856,2.7857142857142856,1.8
air-moldova,5.944444444444445,2.0,2.25,2.4285714285714284,0.6666666666666666,3.2
air-namibia,6.688888888888889,4.0,4.176470588235294,3.7058823529411766,1.8823529411764706,3.3541666666666665
air-new-zealand,6.722419928825623,3.4419354838709677,3.735483870967742,3.4419354838709677,3.174757281553398,3.270967741935484
air-niugini,4.333333333333333,1.25,1.25,1.25,1.25,1.25
air-north-yukons-airline,5.0,3.0,4.0,4.0,5.0,2.0
air-nostrum,5.857142857142857,3.75,3.25,0.25,0.25,2.8461538461538463
air-serbia,7.641791044776119,3.84375,4.125,3.9375,2.0491803278688523,4.0625
air-seychelles,6.3125,4.0,3.5384615384615383,3.5384615384615383,3.0,2.9
air-tahiti-nui,5.018518518518518,2.5405405405405403,3.189189189189189,3.0,2.4594594594594597,2.607142857142857
air-transat,6.510273972602739,3.0210843373493974,3.6265060240963853,2.933534743202417,2.9397590361445785,3.4216867469879517
air-vanuata,6.833333333333333,3.6666666666666665,4.555555555555555,3.888888888888889,2.2222222222222223,4.0
air-zimbabwe,4.25,4.0,5.0,4.0,0.0,3.0
airasia,6.456081081081081,3.1899641577060933,3.390681003584229,2.402173913043478,0.9456521739130435,3.6785714285714284
airasia-x,7.7073170731707314,3.7196969696969697,3.9696969696969697,3.287878787878788,1.353846153846154,4.0078740157480315
airasia-zest,5.571428571428571,3.0,2.3636363636363638,0.36363636363636365,0.45454545454545453,3.16
airbaltic,5.477777777777778,2.872340425531915,2.9574468085106385,1.6595744680851063,0.6956521739130435,2.6132075471698113
aircalin,7.230769230769231,3.5555555555555554,3.7777777777777777,3.6666666666666665,2.888888888888889,3.5555555555555554
airnorth,6.454545454545454,1.375,1.5,1.125,0.375,1.9
alaska-airlines,6.880952380952381,3.368131868131868,3.6868131868131866,2.901098901098901,1.6927374301675977,3.1991525423728815
alitalia,5.501766784452297,3.0339506172839505,2.935185185185185,2.685185185185185,2.1037735849056602,3.009259259259259
allegiant-air,4.719869706840391,2.598343685300207,2.6666666666666665,1.418708240534521,0.5294117647058824,2.484472049689441
american-airlines,3.655683690280066,2.4869281045751634,2.5294117647058822,2.260869565217391,1.9574829931972788,2.406862745098039
american-eagle,5.771929824561403,2.6285714285714286,2.657142857142857,1.8857142857142857,0.46875,2.7761194029850746
