ident,type,name,iata_code,coordinates
LRBS,medium_airport,Băneasa International Airport,BBU,"26.102100372314453, 44.50320053100586"
LRCK,medium_airport,Mihail Kogălniceanu International Airport,CND,"28.488300323486328, 44.36220169067383"
LRCS,medium_airport,Caransebeș Airport,CSB,"22.253299713134766, 45.41999816894531"
LRIA,medium_airport,Iași Airport,IAS,"27.6205997467041, 47.17850112915039"
LROP,large_airport,Henri Coandă International Airport,OTP,"26.085, 44.5711111"
LRTM,medium_airport,Transilvania Târgu Mureș International Airport,TGM,"24.412500381469727, 46.46770095825195"
LRTR,medium_airport,Timișoara Traian Vuia Airport,TSR,"21.337900161743164, 45.809898376464844"
LSZH,large_airport,Zürich Airport,ZRH,"8.54917, 47.464699"
LTBU,medium_airport,Tekirdağ Çorlu Airport,TEQ,"27.919099807739258, 41.13819885253906"
LUBL,medium_airport,Bălți International Airport,BZY,"27.777222, 47.843056"
LUKK,medium_airport,Chișinău International Airport,KIV,"28.930999755859375, 46.92770004272461"
LZIB,large_airport,M. R. Štefánik Airport,BTS,"17.21269989013672, 48.17020034790039"
LZKZ,medium_airport,Košice Airport,KSC,"21.241100311279297, 48.66310119628906"
LZPP,medium_airport,Piešťany Airport,PZY,"17.828399658203125, 48.62519836425781"
LZSL,medium_airport,Sliač Airport,SLD,"19.13409996032715, 48.63779830932617"
LZZI,medium_airport,Žilina Airport,ILZ,"18.6135005951, 49.231498718299996"
RMU,medium_airport,Región de Murcia International Airport,RMU,"-1.125, 37.803"
