ident,type,name,iata_code,coordinates
LPBR,medium_airport,Braga Municipal Aerodrome,BGZ,"-8.445139884949999, 41.5871009827"
LPCS,medium_airport,Cascais Airport,CAT,"-9.35523, 38.724998"
LPFL,medium_airport,Flores Airport,FLW,"-31.131399154663086, 39.455299377441406"
LPFR,large_airport,Faro Airport,FAO,"-7.96590995789, 37.0144004822"
LPGR,medium_airport,Graciosa Airport,GRW,"-28.029800415039062, 39.092201232910156"
LPHR,medium_airport,Horta Airport,HOR,"-28.715900421142578, 38.519901275634766"
LPLA,large_airport,Lajes Airport,TER,"-27.090799, 38.761799"
LPMA,medium_airport,Madeira Airport,FNC,"-16.7745, 32.697899"
LPMR,medium_airport,Monte Real Air Base,QLR,"-8.8875, 39.828335"
LPPI,medium_airport,Pico Airport,PIX,"-28.441299, 38.554298"
LPPS,medium_airport,Porto Santo Airport,PXO,"-16.3500003815, 33.0733985901"
LPPT,large_airport,Humberto Delgado Airport (Lisbon Portela Airport),LIS,"-9.13592, 38.7813"
LPVR,medium_airport,Vila Real Airport,VRL,"-7.72047, 41.2743"
