name,id,overall_rating,queuing_efficiency,cleanliness,shopping_facilities
Cardiff International Airport,CWL,3.4473684210526314,2.642857142857143,3.107142857142857,2.321428571428572
Bristol Airport,BRS,3.43609022556391,2.51948051948052,3.2142857142857144,2.372549019607843
Liverpool John Lennon Airport,LPL,3.87037037037037,2.6171875,2.4765625,2.4960629921259843
London Luton Airport,LTN,2.8870967741935485,1.6813186813186811,2.6446886446886446,2.066914498141264
Bournemouth Airport,BOH,2.6666666666666665,2.402439024390244,2.8292682926829267,2.111111111111111
Southampton Airport,SOU,4.344827586206897,3.130434782608696,3.782608695652174,2.608695652173913
Newquay Cornwall Airport,NQY,3.142857142857143,2.2,2.56,1.56
Alderney Airport,ACI,9.0,5.0,5.0,4.0
Guernsey Airport,GCI,5.166666666666667,4.75,4.5,3.25
Jersey Airport,JER,5.2,4.285714285714286,4.285714285714286,3.2857142857142856
London Gatwick Airport,LGW,4.529680365296803,2.6706349206349205,3.345238095238096,3.0404858299595143
London City Airport,LCY,4.673076923076923,3.325,4.15,3.25
London Heathrow Airport,LHR,4.853146853146853,2.705769230769231,3.714836223506744,3.4305283757338554
Southend Airport,SEN,7.48,3.8620689655172415,4.344827586206897,3.413793103448276
Blackpool International Airport,BLK,4.333333333333333,2.92,3.0,1.96
Humberside Airport,HUY,7.0,5.0,5.0,3.25
Leeds Bradford Airport,LBA,3.208,2.261437908496732,2.5620915032679736,2.0
Isle of Man Airport,IOM,5.875,3.1666666666666665,4.666666666666667,3.6666666666666665
Newcastle Airport,NCL,4.612903225806452,3.46,3.44,2.82
Durham Tees Valley Airport,MME,3.6666666666666665,3.0,1.0,2.0
East Midlands Airport,EMA,3.933333333333333,2.0,2.75,2.185185185185185
Kirkwall Airport,KOI,5.5,5.0,5.0,5.0
Sumburgh Airport,LSI,3.0,5.0,4.0,3.0
Wick Airport,WIC,8.0,5.0,5.0,1.0
Aberdeen Dyce Airport,ABZ,3.1818181818181817,2.130434782608696,3.347826086956522,2.0
Inverness Airport,INV,4.166666666666667,2.8,3.8,2.0
Glasgow International Airport,GLA,4.395833333333333,3.342857142857143,3.257142857142857,3.2
Edinburgh Airport,EDI,4.079545454545454,2.1192660550458715,3.302752293577982,2.9901960784313726
Glasgow Prestwick Airport,PIK,3.7,2.6,3.4,1.8
Dundee Airport,DND,4.0,4.0,4.0,4.0
Norwich International Airport,NWI,2.71875,3.129032258064516,3.225806451612903,2.193548387096774
London Stansted Airport,STN,2.875,1.5929919137466306,2.702702702702702,2.348314606741573
Exeter International Airport,EXT,5.0,3.583333333333333,3.5,2.9166666666666665
Amsterdam Airport Schiphol,AMS,5.545454545454546,2.8373493975903616,3.927710843373494,3.7393939393939393
Eindhoven Airport,EIN,4.0,2.6666666666666665,3.6666666666666665,2.0
Rotterdam The Hague Airport,RTM,5.7,4.285714285714286,3.857142857142857,2.7142857142857144
Cork Airport,ORK,6.230769230769231,4.555555555555555,4.777777777777778,3.7777777777777777
Dublin Airport,DUB,4.873873873873874,2.981818181818182,3.8181818181818175,3.302752293577982
Ireland West Knock Airport,NOC,4.333333333333333,4.75,3.5,2.0
Kerry Airport,KIR,7.5,5.0,3.0,5.0
Shannon Airport,SNN,5.2727272727272725,4.833333333333333,4.666666666666667,4.0
Sligo Airport,SXL,3.5,3.5,3.5,3.5
Waterford Airport,WAT,4.333333333333333,5.0,5.0,4.0
Billund Airport,BLL,4.5,2.0,3.0,2.0
Copenhagen Kastrup Airport,CPH,4.552941176470588,3.095890410958904,3.808219178082192,3.232876712328767
Aalborg Airport,AAL,5.75,5.0,4.75,3.75
Luxembourg-Findel International Airport,LUX,5.428571428571429,4.428571428571429,4.571428571428571,3.7142857142857135
Oslo Gardermoen Airport,OSL,3.7857142857142856,2.5945945945945947,3.5405405405405403,3.055555555555556
Trondheim Airport Værnes,TRD,3.0,3.0,3.0,3.0
Stavanger Airport Sola,SVG,4.0,4.0,4.0,4.0
Gdańsk Lech Wałęsa Airport,GDN,5.6,4.25,4.75,3.75
Kraków John Paul II International Airport,KRK,3.111111111111111,2.3,2.5,1.8
Katowice International Airport,KTW,8.166666666666666,4.2,5.0,4.8
Modlin Airport,WMI,6.5,4.0,4.0,3.0
Poznań-Ławica Airport,POZ,5.666666666666667,5.0,5.0,5.0
"Szczecin-Goleniów ""Solidarność” Airport",SZZ,3.5,2.0,3.0,3.0
Warsaw Chopin Airport,WAW,4.25531914893617,3.5,4.0625,3.25
Copernicus Wrocław Airport,WRO,8.25,4.857142857142857,4.714285714285714,4.285714285714286
Gothenburg-Landvetter Airport,GOT,5.75,5.0,4.6,3.8
Gothenburg City Airport,GSE,7.0,4.5,4.5,4.0
Stockholm Skavsta Airport,NYO,2.6666666666666665,3.0,2.0,1.0
Malmö Sturup Airport,MMX,4.0,4.0,4.0,4.0
